,leaf_ID,plant_disease
2090,366,Strawberry___healthy
2092,1334,Strawberry___healthy
2092,1334,Strawberry___healthy
2093,1334,Strawberry___healthy
2093,1334,Strawberry___healthy
2096,1334,Strawberry___healthy
2096,1334,Strawberry___healthy
2099,1334,Strawberry___healthy
2099,1334,Strawberry___healthy
2101,46,Strawberry___healthy
2101,46,Strawberry___healthy
2104,46,Strawberry___healthy
2104,46,Strawberry___healthy
2107,46,Strawberry___healthy
2107,46,Strawberry___healthy
2109,5589,Strawberry___healthy
2109,5589,Strawberry___healthy
2112,5589,Strawberry___healthy
2112,5589,Strawberry___healthy
2114,5589,Strawberry___healthy
2114,5589,Strawberry___healthy
2118,5589,Strawberry___healthy
2118,5589,Strawberry___healthy
2120,3329,Strawberry___healthy
2120,3329,Strawberry___healthy
2122,3329,Strawberry___healthy
2122,3329,Strawberry___healthy
2124,3329,Strawberry___healthy
2124,3329,Strawberry___healthy
2126,3329,Strawberry___healthy
2126,3329,Strawberry___healthy
2129,356,Strawberry___healthy
2129,356,Strawberry___healthy
2131,356,Strawberry___healthy
2131,356,Strawberry___healthy
2134,356,Strawberry___healthy
2134,356,Strawberry___healthy
2135,356,Strawberry___healthy
2135,356,Strawberry___healthy
2141,199,Strawberry___healthy
2141,199,Strawberry___healthy
2143,199,Strawberry___healthy
2143,199,Strawberry___healthy
2144,199,Strawberry___healthy
2144,199,Strawberry___healthy
2146,199,Strawberry___healthy
2146,199,Strawberry___healthy
2149,2979,Strawberry___healthy
2149,2979,Strawberry___healthy
2151,2979,Strawberry___healthy
2151,2979,Strawberry___healthy
2639,3101,Potato___healthy
2639,3101,Potato___healthy
2639,3101,Potato___healthy
2640,3101,Potato___healthy
2640,3101,Potato___healthy
2640,3101,Potato___healthy
2643,3101,Potato___healthy
2643,3101,Potato___healthy
2643,3101,Potato___healthy
2646,5314,Potato___healthy
2646,5314,Potato___healthy
2646,5314,Potato___healthy
2668,5661,Potato___healthy
2668,5661,Potato___healthy
2668,5661,Potato___healthy
2669,5661,Potato___healthy
2669,5661,Potato___healthy
2669,5661,Potato___healthy
2670,5661,Potato___healthy
2670,5661,Potato___healthy
2670,5661,Potato___healthy
2671,5661,Potato___healthy
2671,5661,Potato___healthy
2671,5661,Potato___healthy
2675,5855,Potato___healthy
2675,5855,Potato___healthy
2675,5855,Potato___healthy
2676,5855,Potato___healthy
2676,5855,Potato___healthy
2676,5855,Potato___healthy
2678,5855,Potato___healthy
2678,5855,Potato___healthy
2678,5855,Potato___healthy
2679,5855,Potato___healthy
2679,5855,Potato___healthy
2679,5855,Potato___healthy
2680,684,Potato___healthy
2680,684,Potato___healthy
2680,684,Potato___healthy
2682,684,Potato___healthy
2682,684,Potato___healthy
2682,684,Potato___healthy
2684,684,Potato___healthy
2684,684,Potato___healthy
2684,684,Potato___healthy
2685,684,Potato___healthy
2685,684,Potato___healthy
2685,684,Potato___healthy
2687,684,Potato___healthy
2687,684,Potato___healthy
2687,684,Potato___healthy
2688,1729,Potato___healthy
2688,1729,Potato___healthy
2688,1729,Potato___healthy
2689,1729,Potato___healthy
2689,1729,Potato___healthy
2689,1729,Potato___healthy
2690,1729,Potato___healthy
2690,1729,Potato___healthy
2690,1729,Potato___healthy
3028,82,Apple___healthy
3028,82,Apple___healthy
3030,82,Apple___healthy
3030,82,Apple___healthy
3032,82,Apple___healthy
3032,82,Apple___healthy
3034,82,Apple___healthy
3034,82,Apple___healthy
3036,82,Apple___healthy
3036,82,Apple___healthy
3038,82,Apple___healthy
3038,82,Apple___healthy
3040,82,Apple___healthy
3040,82,Apple___healthy
3042,82,Apple___healthy
3042,82,Apple___healthy
3044,82,Apple___healthy
3044,82,Apple___healthy
3046,82,Apple___healthy
3046,82,Apple___healthy
3048,82,Apple___healthy
3048,82,Apple___healthy
3050,82,Apple___healthy
3050,82,Apple___healthy
3052,82,Apple___healthy
3052,82,Apple___healthy
3054,82,Apple___healthy
3054,82,Apple___healthy
3056,4371,Apple___healthy
3056,4371,Apple___healthy
3058,4371,Apple___healthy
3058,4371,Apple___healthy
3060,4371,Apple___healthy
3060,4371,Apple___healthy
3062,4371,Apple___healthy
3062,4371,Apple___healthy
3064,4371,Apple___healthy
3064,4371,Apple___healthy
3066,4371,Apple___healthy
3066,4371,Apple___healthy
3068,4371,Apple___healthy
3068,4371,Apple___healthy
3070,4371,Apple___healthy
3070,4371,Apple___healthy
3072,4371,Apple___healthy
3072,4371,Apple___healthy
3074,4371,Apple___healthy
3074,4371,Apple___healthy
3076,4371,Apple___healthy
3076,4371,Apple___healthy
3078,4371,Apple___healthy
3078,4371,Apple___healthy
3080,4371,Apple___healthy
3080,4371,Apple___healthy
3082,4371,Apple___healthy
3082,4371,Apple___healthy
3084,4371,Apple___healthy
3084,4371,Apple___healthy
3086,5064,Apple___healthy
3086,5064,Apple___healthy
3088,5064,Apple___healthy
3088,5064,Apple___healthy
3090,5064,Apple___healthy
3090,5064,Apple___healthy
3092,5064,Apple___healthy
3092,5064,Apple___healthy
3094,5064,Apple___healthy
3094,5064,Apple___healthy
3096,5064,Apple___healthy
3096,5064,Apple___healthy
3098,5064,Apple___healthy
3098,5064,Apple___healthy
3100,5064,Apple___healthy
3100,5064,Apple___healthy
3102,5064,Apple___healthy
3102,5064,Apple___healthy
3104,5064,Apple___healthy
3104,5064,Apple___healthy
3106,5064,Apple___healthy
3106,5064,Apple___healthy
3108,5064,Apple___healthy
3108,5064,Apple___healthy
3110,5064,Apple___healthy
3110,5064,Apple___healthy
3112,5798,Apple___healthy
3112,5798,Apple___healthy
3114,5798,Apple___healthy
3114,5798,Apple___healthy
3116,5798,Apple___healthy
3116,5798,Apple___healthy
3118,5798,Apple___healthy
3118,5798,Apple___healthy
3120,5798,Apple___healthy
3120,5798,Apple___healthy
3122,5798,Apple___healthy
3122,5798,Apple___healthy
3124,5798,Apple___healthy
3124,5798,Apple___healthy
3126,5798,Apple___healthy
3126,5798,Apple___healthy
3128,5798,Apple___healthy
3128,5798,Apple___healthy
3130,5798,Apple___healthy
3130,5798,Apple___healthy
3132,5798,Apple___healthy
3132,5798,Apple___healthy
3134,5798,Apple___healthy
3134,5798,Apple___healthy
3136,1165,Apple___healthy
3136,1165,Apple___healthy
3138,1165,Apple___healthy
3138,1165,Apple___healthy
3140,1165,Apple___healthy
3140,1165,Apple___healthy
3142,1165,Apple___healthy
3142,1165,Apple___healthy
3144,1165,Apple___healthy
3144,1165,Apple___healthy
3146,1165,Apple___healthy
3146,1165,Apple___healthy
3148,1165,Apple___healthy
3148,1165,Apple___healthy
3150,1165,Apple___healthy
3150,1165,Apple___healthy
3152,1165,Apple___healthy
3152,1165,Apple___healthy
3154,1165,Apple___healthy
3154,1165,Apple___healthy
3156,1165,Apple___healthy
3156,1165,Apple___healthy
3158,1165,Apple___healthy
3158,1165,Apple___healthy
3160,1165,Apple___healthy
3160,1165,Apple___healthy
3162,1165,Apple___healthy
3162,1165,Apple___healthy
3164,1165,Apple___healthy
3164,1165,Apple___healthy
3166,1165,Apple___healthy
3166,1165,Apple___healthy
3168,1165,Apple___healthy
3168,1165,Apple___healthy
3170,1165,Apple___healthy
3170,1165,Apple___healthy
3172,5807,Apple___healthy
3172,5807,Apple___healthy
3174,5807,Apple___healthy
3174,5807,Apple___healthy
3176,5807,Apple___healthy
3176,5807,Apple___healthy
3178,5807,Apple___healthy
3178,5807,Apple___healthy
3180,5807,Apple___healthy
3180,5807,Apple___healthy
3182,5807,Apple___healthy
3182,5807,Apple___healthy
3184,5807,Apple___healthy
3184,5807,Apple___healthy
3186,5807,Apple___healthy
3186,5807,Apple___healthy
3188,5807,Apple___healthy
3188,5807,Apple___healthy
3190,5807,Apple___healthy
3190,5807,Apple___healthy
3192,5807,Apple___healthy
3192,5807,Apple___healthy
3194,5807,Apple___healthy
3194,5807,Apple___healthy
3196,506,Apple___healthy
3196,506,Apple___healthy
3198,506,Apple___healthy
3198,506,Apple___healthy
3200,506,Apple___healthy
3200,506,Apple___healthy
3202,506,Apple___healthy
3202,506,Apple___healthy
3204,506,Apple___healthy
3204,506,Apple___healthy
3206,506,Apple___healthy
3206,506,Apple___healthy
3208,506,Apple___healthy
3208,506,Apple___healthy
3210,506,Apple___healthy
3210,506,Apple___healthy
3212,506,Apple___healthy
3212,506,Apple___healthy
3214,506,Apple___healthy
3214,506,Apple___healthy
3216,506,Apple___healthy
3216,506,Apple___healthy
3218,506,Apple___healthy
3218,506,Apple___healthy
3220,506,Apple___healthy
3220,506,Apple___healthy
3222,506,Apple___healthy
3222,506,Apple___healthy
3224,506,Apple___healthy
3224,506,Apple___healthy
3226,2625,Apple___healthy
3226,2625,Apple___healthy
3228,2625,Apple___healthy
3228,2625,Apple___healthy
3230,2625,Apple___healthy
3230,2625,Apple___healthy
3232,2625,Apple___healthy
3232,2625,Apple___healthy
3234,2625,Apple___healthy
3234,2625,Apple___healthy
3236,5237,Apple___healthy
3236,5237,Apple___healthy
3238,5237,Apple___healthy
3238,5237,Apple___healthy
3240,5237,Apple___healthy
3240,5237,Apple___healthy
3242,5237,Apple___healthy
3242,5237,Apple___healthy
3244,5237,Apple___healthy
3244,5237,Apple___healthy
3246,5237,Apple___healthy
3246,5237,Apple___healthy
3248,5237,Apple___healthy
3248,5237,Apple___healthy
3250,5237,Apple___healthy
3250,5237,Apple___healthy
3252,5237,Apple___healthy
3252,5237,Apple___healthy
3254,5237,Apple___healthy
3254,5237,Apple___healthy
3256,4223,Apple___healthy
3256,4223,Apple___healthy
3258,4223,Apple___healthy
3258,4223,Apple___healthy
3260,4223,Apple___healthy
3260,4223,Apple___healthy
3262,4223,Apple___healthy
3262,4223,Apple___healthy
3264,4223,Apple___healthy
3264,4223,Apple___healthy
3266,4223,Apple___healthy
3266,4223,Apple___healthy
3267,4223,Apple___healthy
3267,4223,Apple___healthy
3269,4223,Apple___healthy
3269,4223,Apple___healthy
3271,4223,Apple___healthy
3271,4223,Apple___healthy
3273,4223,Apple___healthy
3273,4223,Apple___healthy
3275,4223,Apple___healthy
3275,4223,Apple___healthy
3277,4223,Apple___healthy
3277,4223,Apple___healthy
3279,4223,Apple___healthy
3279,4223,Apple___healthy
3281,4223,Apple___healthy
3281,4223,Apple___healthy
3283,4223,Apple___healthy
3283,4223,Apple___healthy
3285,4223,Apple___healthy
3285,4223,Apple___healthy
3287,4223,Apple___healthy
3287,4223,Apple___healthy
3289,4223,Apple___healthy
3289,4223,Apple___healthy
3291,459,Apple___healthy
3291,459,Apple___healthy
3293,459,Apple___healthy
3293,459,Apple___healthy
3295,459,Apple___healthy
3295,459,Apple___healthy
3297,459,Apple___healthy
3297,459,Apple___healthy
3299,459,Apple___healthy
3299,459,Apple___healthy
3301,459,Apple___healthy
3301,459,Apple___healthy
3303,459,Apple___healthy
3303,459,Apple___healthy
3305,459,Apple___healthy
3305,459,Apple___healthy
3307,459,Apple___healthy
3307,459,Apple___healthy
3309,459,Apple___healthy
3309,459,Apple___healthy
3311,459,Apple___healthy
3311,459,Apple___healthy
3313,459,Apple___healthy
3313,459,Apple___healthy
3315,459,Apple___healthy
3315,459,Apple___healthy
3317,459,Apple___healthy
3317,459,Apple___healthy
3319,459,Apple___healthy
3319,459,Apple___healthy
3321,3681,Apple___healthy
3321,3681,Apple___healthy
3323,3681,Apple___healthy
3323,3681,Apple___healthy
3325,3681,Apple___healthy
3325,3681,Apple___healthy
3327,3681,Apple___healthy
3327,3681,Apple___healthy
3329,3681,Apple___healthy
3329,3681,Apple___healthy
3331,3681,Apple___healthy
3331,3681,Apple___healthy
3333,3681,Apple___healthy
3333,3681,Apple___healthy
3335,3681,Apple___healthy
3335,3681,Apple___healthy
3337,3681,Apple___healthy
3337,3681,Apple___healthy
3339,3681,Apple___healthy
3339,3681,Apple___healthy
3341,3681,Apple___healthy
3341,3681,Apple___healthy
3343,3681,Apple___healthy
3343,3681,Apple___healthy
3345,3681,Apple___healthy
3345,3681,Apple___healthy
3347,3681,Apple___healthy
3347,3681,Apple___healthy
3349,3681,Apple___healthy
3349,3681,Apple___healthy
3351,4147,Apple___healthy
3351,4147,Apple___healthy
3352,4147,Apple___healthy
3352,4147,Apple___healthy
3353,4147,Apple___healthy
3353,4147,Apple___healthy
3355,4147,Apple___healthy
3355,4147,Apple___healthy
3357,4147,Apple___healthy
3357,4147,Apple___healthy
3359,4147,Apple___healthy
3359,4147,Apple___healthy
3360,4147,Apple___healthy
3360,4147,Apple___healthy
3361,4147,Apple___healthy
3361,4147,Apple___healthy
3362,4147,Apple___healthy
3362,4147,Apple___healthy
3363,4147,Apple___healthy
3363,4147,Apple___healthy
3364,4147,Apple___healthy
3364,4147,Apple___healthy
3365,4147,Apple___healthy
3365,4147,Apple___healthy
3366,4147,Apple___healthy
3366,4147,Apple___healthy
3367,4147,Apple___healthy
3367,4147,Apple___healthy
3368,4147,Apple___healthy
3368,4147,Apple___healthy
3369,3778,Apple___healthy
3369,3778,Apple___healthy
3370,3778,Apple___healthy
3370,3778,Apple___healthy
3371,3778,Apple___healthy
3371,3778,Apple___healthy
3372,3778,Apple___healthy
3372,3778,Apple___healthy
3373,3778,Apple___healthy
3373,3778,Apple___healthy
3374,3778,Apple___healthy
3374,3778,Apple___healthy
3375,3778,Apple___healthy
3375,3778,Apple___healthy
3376,3778,Apple___healthy
3376,3778,Apple___healthy
3377,3778,Apple___healthy
3377,3778,Apple___healthy
3378,3778,Apple___healthy
3378,3778,Apple___healthy
3379,3778,Apple___healthy
3379,3778,Apple___healthy
3380,3778,Apple___healthy
3380,3778,Apple___healthy
3381,3778,Apple___healthy
3381,3778,Apple___healthy
3382,3778,Apple___healthy
3382,3778,Apple___healthy
3383,3778,Apple___healthy
3383,3778,Apple___healthy
3384,1740,Apple___healthy
3384,1740,Apple___healthy
3385,1740,Apple___healthy
3385,1740,Apple___healthy
3386,1740,Apple___healthy
3386,1740,Apple___healthy
3387,1740,Apple___healthy
3387,1740,Apple___healthy
3388,1740,Apple___healthy
3388,1740,Apple___healthy
3389,1740,Apple___healthy
3389,1740,Apple___healthy
3390,1740,Apple___healthy
3390,1740,Apple___healthy
3391,1740,Apple___healthy
3391,1740,Apple___healthy
3392,1740,Apple___healthy
3392,1740,Apple___healthy
3393,1740,Apple___healthy
3393,1740,Apple___healthy
3394,1740,Apple___healthy
3394,1740,Apple___healthy
3395,1740,Apple___healthy
3395,1740,Apple___healthy
3396,1740,Apple___healthy
3396,1740,Apple___healthy
3397,1740,Apple___healthy
3397,1740,Apple___healthy
3398,1740,Apple___healthy
3398,1740,Apple___healthy
3399,1740,Apple___healthy
3399,1740,Apple___healthy
3400,3778,Apple___healthy
3400,3778,Apple___healthy
3401,3778,Apple___healthy
3401,3778,Apple___healthy
3402,3778,Apple___healthy
3402,3778,Apple___healthy
3403,3778,Apple___healthy
3403,3778,Apple___healthy
3404,3778,Apple___healthy
3404,3778,Apple___healthy
3405,3778,Apple___healthy
3405,3778,Apple___healthy
3406,3778,Apple___healthy
3406,3778,Apple___healthy
3407,3778,Apple___healthy
3407,3778,Apple___healthy
3408,3778,Apple___healthy
3408,3778,Apple___healthy
3409,3778,Apple___healthy
3409,3778,Apple___healthy
3410,3778,Apple___healthy
3410,3778,Apple___healthy
3411,3778,Apple___healthy
3411,3778,Apple___healthy
3412,3778,Apple___healthy
3412,3778,Apple___healthy
3413,3778,Apple___healthy
3413,3778,Apple___healthy
3414,3778,Apple___healthy
